Player,Team,PTS,AST,TRB,STL,BLK,MVP_Score
Luka Dončić,DAL,2370.0,686.0,647.0,99.0,38.0,1228.3000000000002
Nikola Jokić,DEN,2085.0,708.0,976.0,108.0,68.0,1188.3999999999999
Giannis Antetokounmpo,MIL,2222.0,476.0,841.0,87.0,79.0,1168.8000000000002
Shai Gilgeous-Alexander,OKC,2254.0,465.0,415.0,150.0,67.0,1099.3
Jalen Brunson,NYK,2212.0,519.0,278.0,70.0,13.0,1052.5
Anthony Davis,LAL,1876.0,266.0,961.0,91.0,178.0,1022.7000000000002
Domantas Sabonis,SAC,1593.0,673.0,1120.0,74.0,48.0,1008.0
Kevin Durant,PHO,2032.0,378.0,495.0,69.0,91.0,1003.4000000000001
Anthony Edwards,MIN,2049.0,405.0,430.0,101.0,42.0,1000.9000000000001
Jayson Tatum,BOS,1987.0,364.0,601.0,75.0,43.0,999.6
